
12038;fd6dcb59eb89e9b03f39d41a30e41c01;"50650421";Лопатинский сельсовет;2;2015-01-28;2021-11-03;Новосибирская область;Сельское поселение
12039;c6c52cd2e500224f4dbd02ac4373b274;"50650422";Николаевский сельсовет;2;2015-01-28;2021-11-03;Новосибирская область;Сельское поселение
12040;"7b117138fb5e81a3d2305f60835719f8";"50650423";Неудачинский сельсовет;2;2015-01-28;2021-11-03;Новосибирская область;Сельское поселение
12041;"42b5740cd35c5c49b5db637d990188f0";"50650425";Никулинский сельсовет;2;2015-01-28;2021-11-03;Новосибирская область;Сельское поселение
12042;"000911f5875ac54ff6651db7231d35dd";"50650428";Новомихайловский сельсовет;2;2015-01-28;2021-11-03;Новосибирская область;Сельское поселение
12043;c686a5769243f88b5fafbc4a8f3e24ea;"50650430";Новопервомайский сельсовет;2;2015-01-28;2021-11-03;Новосибирская область;Сельское поселение
12044;"0fd0445e16b8c2532fcf90ec1519bdba";"50650431";Новопокровский сельсовет;2;2015-01-28;2021-11-03;Новосибирская область;Сельское поселение
12045;"84bc66d95a100517c95104077a7f0cde";"50650433";Новотроицкий сельсовет;2;2015-01-28;2021-11-03;Новосибирская область;Сельское поселение
12046;"412f48d9a512a3ff7d8c420abff6b550";"50650435";Орловский сельсовет;2;2015-01-28;2021-11-03;Новосибирская область;Сельское поселение
12047;"3a6c673b34d6abf6d4f157e002282289";"50650437";Северотатарский сельсовет;2;2015-01-28;2021-11-03;Новосибирская область;Сельское поселение
12048;"2d6a7f889e26621ae7f09dd7b7be9507";"50650440";Увальский сельсовет;2;2015-01-28;2021-11-03;Новосибирская область;Сельское поселение
12049;"211123af6ed5ea3030c8f42a35e681fd";"50650443";Ускюльский сельсовет;2;2015-01-28;2021-11-03;Новосибирская область;Сельское поселение
12050;"89fbf4bb76fdcad39d626428d377243f";"50652000";Тогучинский муниципальный район;1;2015-01-28;2021-11-03;Новосибирская область;Муниципальный район
12051;"77e58505b90c3eb59f0d6c46d26b0f5f";"50652101";город Тогучин;2;2015-01-28;2021-11-03;Новосибирская область;Городское поселение
12052;f5be76f6d142f4cc5ba964f3edae6e49;"50652153";рабочий поселок Горный;2;2015-01-28;2021-11-03;Новосибирская область;Городское поселение
12053;"04584f000b0e869e36308389893321e2";"50652402";Борцовский сельсовет;2;2015-01-28;2021-11-03;Новосибирская область;Сельское поселение
12054;fef383a508380ddad07bc97a08bd6ae2;"50652404";Буготакский сельсовет;2;2015-01-28;2021-11-03;Новосибирская область;Сельское поселение
12055;"87fdf1c216e9bc4544e2ebf8443ed103";"50652407";Вассинский сельсовет;2;2015-01-28;2021-11-03;Новосибирская область;Сельское поселение
12056;"469658b6590e11402685a3ba3906f7fe";"50652410";Гутовский сельсовет;2;2015-01-28;2021-11-03;Новосибирская область;Сельское поселение
12057;"15114c327a1407bb68f65c9114d0574a";"50652413";Завьяловский сельсовет;2;2015-01-28;2021-11-03;Новосибирская область;Сельское поселение
12058;"00ff839729797a1443d7f13ffcede17e";"50652416";Заречный сельсовет;2;2015-01-28;2021-11-03;Новосибирская область;Сельское поселение
12059;"60d4424252376061d03a23cfbb66b6b9";"50652422";Киикский сельсовет;2;2015-01-28;2021-11-03;Новосибирская область;Сельское поселение
12060;fb74a7ee1972bde08c7b96dbf40fe267;"50652425";Кировский сельсовет;2;2015-01-28;2021-11-03;Новосибирская область;Сельское поселение
12061;"6e3d22ae7325dd3e21558964fa32e509";"50652428";Коуракский сельсовет;2;2015-01-28;2021-11-03;Новосибирская область;Сельское поселение
12062;cec8fa13e61d86bc519288aa8484fbfe;"50652431";Кудельно-Ключевской сельсовет;2;2015-01-28;2021-11-03;Новосибирская область;Сельское поселение
12063;d9f55ba24965567a7ae85f8bd7bcf2a4;"50652433";Кудринский сельсовет;2;2015-01-28;2021-11-03;Новосибирская область;Сельское поселение
12064;"330615c086ddc6eefe8ffb07fc6048f8";"50652435";Лебедевский сельсовет;2;2015-01-28;2021-11-03;Новосибирская область;Сельское поселение
12065;c20bbcd13f390fd86edbdb4d8adc4d66;"50652437";Мирновский сельсовет;2;2015-01-28;2021-11-03;Новосибирская область;Сельское поселение
12066;"7ceb8e6e19623fe66eea7879e3bcec50";"50652438";Репьевский сельсовет;2;2015-01-28;2021-11-03;Новосибирская область;Сельское поселение
12067;"3f66994809f5f3e823c72608df14219a";"50652439";Нечаевский сельсовет;2;2015-01-28;2021-11-03;Новосибирская область;Сельское поселение
12068;dc220d805fa5d27c589c03ae916f0003;"50652441";Степногутовский сельсовет;2;2015-01-28;2021-11-03;Новосибирская область;Сельское поселение
12069;"0335f57224f0ea0546cd74c941906951";"50652443";Сурковский сельсовет;2;2015-01-28;2021-11-03;Новосибирская область;Сельское поселение
12070;a3c85d9980155b24124fd11294c538b6;"50652446";Усть-Каменский сельсовет;2;2015-01-28;2021-11-03;Новосибирская область;Сельское поселение
12071;"948f636180c53d30192608f98834d1ab";"50652449";Чемской сельсовет;2;2015-01-28;2021-11-03;Новосибирская область;Сельское поселение
12072;e3e1eb25eeea07b1e509a94f445af5b3;"50652452";Шахтинский сельсовет;2;2015-01-28;2021-11-03;Новосибирская область;Сельское поселение
12073;d48a83a734999c8655da8beba2435786;"50654000";Убинский муниципальный район;1;2015-01-28;2021-11-03;Новосибирская область;Муниципальный район
12074;b1777b0220a20329bad59e0bdf0cfd67;"50654401";Борисоглебский сельсовет;2;2015-01-28;2021-11-03;Новосибирская область;Сельское поселение
12075;f3c8d9b29d5dcf2adfd85e89c5aefd85;"50654402";Владимировский сельсовет;2;2015-01-28;2021-11-03;Новосибирская область;Сельское поселение
12076;dee2ef9ae21a04db3a5c0171cb0bf92c;"50654404";Гандичевский сельсовет;2;2015-01-28;2021-11-03;Новосибирская область;Сельское поселение
12077;"3ad421e3d061cec04c4d3ab0483ce85e";"50654407";Ермолаевский сельсовет;2;2015-01-28;2021-11-03;Новосибирская область;Сельское поселение
12078;b2d24e9364cc8de5d058655c22a93e59;"50654410";Кожурлинский сельсовет;2;2015-01-28;2021-11-03;Новосибирская область;Сельское поселение
12079;"7ad94f7f31cb925e89f91ff6fb1ece93";"50654413";Колмаковский сельсовет;2;2015-01-28;2021-11-03;Новосибирская область;Сельское поселение
12080;"5fdef3d210e0426102ef53c78b4997bc";"50654416";Крещенский сельсовет;2;2015-01-28;2021-11-03;Новосибирская область;Сельское поселение
12081;"06d277b3b22b3c238a8abc8c3faf5174";"50654419";Круглоозерный сельсовет;2;2015-01-28;2021-11-03;Новосибирская область;Сельское поселение
12082;ac8631cd89e3232b200ec42c89acb2ea;"50654422";Кундранский сельсовет;2;2015-01-28;2021-11-03;Новосибирская область;Сельское поселение
12083;"60ae2d79f57fe364b903066e236704d1";"50654425";Невский сельсовет;2;2015-01-28;2021-11-03;Новосибирская область;Сельское поселение
12084;"1b446aac3df7fefeff114af8b24a77e0";"50654428";Новодубровский сельсовет;2;2015-01-28;2021-11-03;Новосибирская область;Сельское поселение
12085;a763e45ce7a6e131640e1acf6adf6f75;"50654431";Орловский сельсовет;2;2015-01-28;2021-11-03;Новосибирская область;Сельское поселение
